Pillar,Category,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Already apply to Pmax campaign,Already apply to Shopping campaign,Already apply to DNV campaign,Notes about UI availability,Notes about applicable level,Notes about campaign type coverage,Item,Owner GPM,Item2,UCM DMS Weightage,Tactic code,UCM status,WebUI status,WebUI Weightage,Recommendation,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Health check ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,Search and NRT,,,Campaign does not have active keywords,Neha Mohan,Health check - Campaign does not have active keywords,-,,Not Included in UCM DMS,WebUI Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Health check ,Can apply to Search campaign,-,-,-,-,-,-,-,WebUI does not have the HC,,Expand to Search,Ad group does not have RSA,Neha Mohan,Health check - Ad group does not have RSA,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Action Extension,Neha Mohan,Feature adoption - Action Extension,3.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Callout Extension,Neha Mohan,Feature adoption - Callout Extension,3.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Sitelink Extension,Neha Mohan,Feature adoption - Sitelink Extension,3.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,-,-,-,-,-,-,-,WebUI does not have the FA,,Expand to Search,Image Extension,Neha Mohan,Feature adoption - Image Extension,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Enhanced Sitelink Extension,Neha Mohan,Feature adoption - Enhanced Sitelink Extension,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Structured Snippet Extension,Neha Mohan,Feature adoption - Structured Snippet Extension,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,-,-,-,-,-,-,-,WebUI does not have the FA,,Expand to Search,RSA,Neha Mohan,Feature adoption - RSA,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,-,-,-,-,-,-,-,WebUI does not have the FA,,Expand to Search,MMA,Neha Mohan,Feature adoption - MMA,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Google Import Tool,Kamal Manchanda,Feature adoption - Google Import Tool,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Ads,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Facebook Import,Kamal Manchanda,Feature adoption - Facebook Import,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Ads,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,,Deprecated,Expanded Text Ads,Neha Mohan,Feature adoption - Expanded Text Ads,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,-,-,-,Can apply to DNV campaign,-,-,-,-,WebUI does not have the FA,,Expand to DNV,Video Ads,Anil Biradar,Feature adoption - Video Ads,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Price Extension,Neha Mohan,Feature adoption - Price Extension,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Location Extension,Neha Mohan,Feature adoption - Location Extension,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Call Extension,Neha Mohan,Feature adoption - Call Extension,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax",Review Extension,Neha Mohan,Feature adoption - Review Extension,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Microsoft Shopping Campaigns,Neha Mohan,Feature adoption - Microsoft Shopping Campaigns,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Ads,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,Deprecated,Smart Shopping Campaigns,Neha Mohan,Feature adoption - Smart Shopping Campaigns,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Ads,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,,,App Extension,Neha Mohan,Feature adoption - App Extension,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,,,App Install Ads,Neha Mohan,Feature adoption - App Install Ads,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,Expand to Pmax,Adopt Sitelink Extension,Neha Mohan,Tactic - Adopt Sitelink Extension,-,SLE-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Adopt Image extensions for audience ads,Neha Mohan,Tactic - Adopt Image extensions for audience ads,-,IMGA-I,Included in UCM DMS,WebUI Ready,,Adopt image ext,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,Expand to Pmax,Adopt Enhanced Sitelink Extn,Neha Mohan,Tactic - Adopt Enhanced Sitelink Extn,-,ESL-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,Expand to Pmax,Adopt Structured Snippet Extn,Neha Mohan,Tactic - Adopt Structured Snippet Extn,-,SSE-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Adopt RSAs,Neha Mohan,Tactic - Adopt RSAs,-,RSA-I,Included in UCM DMS,WebUI Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Adopt Multimedia Ads,Neha Mohan,Tactic - Adopt Multimedia Ads,-,IMMA-I,Included in UCM DMS,WebUI Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,Search and NRT,,,Disapproved ads & keywords (included in Targeting pillar above),Neha Mohan,Tactic - Disapproved ads & keywords (included in Targeting pillar above),-,FDA-I,Included in UCM DMS,WebUI Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Improve RSAs,Neha Mohan,Tactic - Improve RSAs,-,RSAA-I,Included in UCM DMS,WebUI Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,Expand to Pmax,Adopt Callout Extension,Neha Mohan,Tactic - Adopt Callout Extension,-,CAL-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Adopt Facebook import,Neha Mohan,Tactic - Adopt Facebook import,-,FBI-I,Included in UCM DMS,WebUI Ready,,-,-,-,-
Ads,Tactic ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Adopt Google Import,Kamal Manchanda,Tactic - Adopt Google Import,-,GIA-I,Included in UCM DMS,WebUI Ready,,-,-,-,-
Ads,Tactic ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Improve Google Import Frequency,Kamal Manchanda,Tactic - Improve Google Import Frequency,-,GIE-I,Included in UCM DMS,WebUI Ready,,-,-,-,-
Ads,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Repair missing keyword params issue,Neha Mohan,Tactic - Repair missing keyword params issue,-,RMKP-I,Included in UCM DMS,WebUI Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Ads,Tactic ,-,Can apply to Pmax campaign,Can apply to Shopping campaign,-,-,-,Already apply to Shopping campaign,-,WebUI does not have the Recommendation,,Expand to Pmax,Update Feeds Or Create New Feeds To Adopt Missing Product URLs,Neha Mohan,Tactic - Update Feeds Or Create New Feeds To Adopt Missing Product URLs,-,FSA-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,-,Can apply to Pmax campaign,Can apply to Shopping campaign,-,-,-,Already apply to Shopping campaign,-,WebUI does not have the Recommendation,,Expand to Pmax,Expired and Expiring Feed for Shopping Campaign,Neha Mohan,Tactic - Expired and Expiring Feed for Shopping Campaign,-,EEF-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,-,Can apply to Pmax campaign,Can apply to Shopping campaign,-,-,-,Already apply to Shopping campaign,-,,,Expand to Pmax,Create Catch-all Campaign for Untargeted Product Offers,Neha Mohan,Tactic - Create Catch-all Campaign for Untargeted Product Offers,-,CUO-I,Not Included in UCM DMS,WebUI Ready,,Catch all shopping campaign,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,"Expand to Pmax, Shopping, DNV",Complete Campaign Setup,Neha Mohan,Tactic - Complete Campaign Setup,-,SET-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,-,-,-,-,-,-,-,-,WebUI does not have the Recommendation,Not applicable to campaign level,,Compete Tactic,Neha Mohan,Tactic - Compete Tactic,-,COM-I,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Ads,Tactic ,-,-,-,-,-,-,-,-,WebUI does not have the Recommendation,Not applicable to campaign level,,Cross Border Opportunity,Neha Mohan,Tactic - Cross Border Opportunity,-,XBC-I,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Ads,Tactic ,-,Can apply to Pmax campaign,Can apply to Shopping campaign,-,-,-,Already apply to Shopping campaign,-,WebUI does not have the Recommendation,,Expand to Pmax,Repair Shopping Campaigns,Neha Mohan,Tactic - Repair Shopping Campaigns,-,RSC-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,Expand to Pmax,Adopt Review Extension,Neha Mohan,Tactic - Adopt Review Extension,-,REV-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,Expand to Pmax,Adopt Location Extension,Neha Mohan,Tactic - Adopt Location Extension,-,LXO-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,Already apply to Pmax campaign,-,-,This HC is only available for Pmax,,"Expand to Search, Shopping, DNV",UET tag diagnostic status,Ewa Maciukiewicz,Health check - UET tag diagnostic status,3.00%,,Included in UCM DMS,WebUI Partially Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,Already apply to Pmax campaign,-,-,This HC is only available for Pmax,,"Expand to Search, Shopping, DNV",Conversion goals diagnostics status,Ewa Maciukiewicz,Health check - Conversion goals diagnostics status,3.00%,,Included in UCM DMS,WebUI Partially Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,,"Expand to Search, Pmax, Shopping, DNV","Custom parameters include ""Google""",Ewa Maciukiewicz,"Health check - Custom parameters include ""Google""",5.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,,"Expand to Search, Pmax, Shopping, DNV",Conversion goals are consistently set up,Ewa Maciukiewicz,Health check - Conversion goals are consistently set up,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,,"Expand to Search, Pmax, Shopping, DNV",Enhanced conversion goals are being used,Ewa Maciukiewicz,Health check - Enhanced conversion goals are being used,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,,"Expand to Search, Pmax, Shopping, DNV",UET conversion window is consistent with campaign objectives,Ewa Maciukiewicz,Health check - UET conversion window is consistent with campaign objectives,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,,"Expand to Search, Pmax, Shopping, DNV",Revenue data present to use for Value-Based Bidding ,Ewa Maciukiewicz,Health check - Revenue data present to use for Value-Based Bidding ,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,,"Expand to Search, Pmax, Shopping, DNV",Desired number of conversions obtained for auto-bidding,Ewa Maciukiewicz,Health check - Desired number of conversions obtained for auto-bidding,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,,,"Expand to Search, Pmax, Shopping, DNV",Conversion goals with errors in settings,Ewa Maciukiewicz,Health check - Conversion goals with errors in settings,-,,Not Included in UCM DMS,WebUI Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,,"Expand to Search, Pmax, Shopping, DNV",Conversion goals with conversion rate drop,Ewa Maciukiewicz,Health check - Conversion goals with conversion rate drop,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,,"Expand to Search, Pmax, Shopping, DNV",UET events on domain drop significantly,Ewa Maciukiewicz,Health check - UET events on domain drop significantly,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,UET,Ewa Maciukiewicz,Feature adoption - UET,2.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Measurement,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,UET tagged landing pages,Ewa Maciukiewicz,Feature adoption - UET tagged landing pages,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Measurement,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax, Shopping, DNV",Conversion Goals,Ewa Maciukiewicz,Feature adoption - Conversion Goals,2.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Measurement,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the FA,,"Expand to Search, Pmax, Shopping, DNV",Conversion tracking,Ewa Maciukiewicz,Feature adoption - Conversion tracking,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the Recommendation,,"Expand to Search, Pmax, Shopping, DNV",Adopt & optimize conversion tracking,Ewa Maciukiewicz,Tactic - Adopt & optimize conversion tracking,-,CON-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Tactic ,-,-,-,-,-,-,-,-,WebUI does not have the Recommendation,Not applicable to campaign level,,Optimize UET - tag more websites,Ewa Maciukiewicz,Tactic - Optimize UET - tag more websites,-,UET-I,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Measurement,Tactic ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Create Conversion Goal,Ewa Maciukiewicz,Tactic - Create Conversion Goal,-,CCG-I,Included in UCM DMS,WebUI Ready,,Create conversion goal,-,-,-
Measurement,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,,,"Expand to Search, Pmax, Shopping, DNV",Fix conversion tracking - goal setting,Ewa Maciukiewicz,Tactic - Fix conversion tracking - goal setting,-,FCG-I,Included in UCM DMS,WebUI Ready,,Fix conversion goal,Can apply to campaign level,-,Can apply to existing campaign
Measurement,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the Recommendation,,"Expand to Search, Pmax, Shopping, DNV",Fix Conversion Goals - Conversion Rate Decrease,Ewa Maciukiewicz,Tactic - Fix Conversion Goals - Conversion Rate Decrease,-,FCD-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
