Pillar,Category,Item,Item2,UCM DMS Weightage,Tactic code,UCM status,WebUI status,Notes,WebUI Weightage,Recommendation,Campaign,Account,Manager Account,Campaign creation,Existing campaign
Ads,Tactic ,Adopt Location Extension,Tactic - Adopt Location Extension,-,LXO-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Health check ,UET tag diagnostic status,Health check - UET tag diagnostic status,3.00%,,Included in UCM DMS,WebUI Partially Ready,This HC is only available for Pmax,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Health check ,Conversion goals diagnostics status,Health check - Conversion goals diagnostics status,3.00%,,Included in UCM DMS,WebUI Partially Ready,This HC is only available for Pmax (only Pmax and to confirm if equal to UCM),,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Health check ,"Custom parameters include ""Google""","Health check - Custom parameters include ""Google""",5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Health check ,Conversion goals are consistently set up,Health check - Conversion goals are consistently set up,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Health check ,Enhanced conversion goals are being used,Health check - Enhanced conversion goals are being used,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Health check ,UET conversion window is consistent with campaign objectives,Health check - UET conversion window is consistent with campaign objectives,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Health check ,Revenue data present to use for Value-Based Bidding ,Health check - Revenue data present to use for Value-Based Bidding ,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Health check ,Desired number of conversions obtained for auto-bidding,Health check - Desired number of conversions obtained for auto-bidding,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Health check ,Conversion goals with errors in settings,Health check - Conversion goals with errors in settings,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Health check ,Conversion goals with conversion rate drop,Health check - Conversion goals with conversion rate drop,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Health check ,UET events on domain drop significantly,Health check - UET events on domain drop significantly,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Feature adoption ,UET,Feature adoption - UET,2.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Feature adoption ,UET tagged landing pages,Feature adoption - UET tagged landing pages,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Feature adoption ,Conversion Goals,Feature adoption - Conversion Goals,2.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Measurement,Feature adoption ,Conversion tracking,Feature adoption - Conversion tracking,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Tactic ,Adopt & optimize conversion tracking,Tactic - Adopt & optimize conversion tracking,-,CON-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Tactic ,Optimize UET - tag more websites,Tactic - Optimize UET - tag more websites,-,UET-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Tactic ,Create Conversion Goal,Tactic - Create Conversion Goal,-,CCG-I,Included in UCM DMS,WebUI Ready,,,Create conversion goal,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Tactic ,Fix conversion tracking - goal setting,Tactic - Fix conversion tracking - goal setting,-,FCG-I,Included in UCM DMS,WebUI Ready,,,Fix conversion goal,Campaign,Account,Manager Account,-,Existing campaign
Measurement,Tactic ,Fix Conversion Goals - Conversion Rate Decrease,Tactic - Fix Conversion Goals - Conversion Rate Decrease,-,FCD-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,-,Existing campaign
